.
1. Contracts; Hợp đồng
abide by; tôn trọng, tuân theo
agreement /əˈɡriːmənt/, /əˈɡriːmənt/;  sự thoả thuận
assurance /əˈʃʊərəns/, /ʃɔːrəns/;  bảo đảm, chắc chắn
cancellation /ˌkænsəˈleɪʃn/, /ˌkænsəˈleɪʃn/;  sự bãi bỏ, hủy bỏ
determine /ˈtɜːmɪn/, /ˈtɜːrmɪn/;  quyết định, xác định, định rõ
engage /ɪnˈɡeɪdʒ/, /ɪnˈɡeɪdʒ/;  tham gia, cam kết
obligate; bắt buộc, ép buộc
party /ˈpɑːti/, /ˈpɑːrti/;  đảng, phái, nhóm
provision /prəˈvɪʒn/, /prəˈvɪʒn/;  điều khoản, sự cung cấp
resolve /rɪˈzɒlv/, /rɪˈzɑːlv/;  giải quyết, sự kiên quyết
specific /spəˈsɪfɪk/, /spəˈsɪfɪk/;  riêng biệt, cụ thể, rõ ràng, rành mạch 

2. Marketing; Tiếp thị
attract /əˈtrækt/, /əˈtrækt/;  hấp dẫn, lôi cuốn, thu hút
compare /ˈpeə(r)/, /ˈper/;  so sánh, đối chiếu
competition /ˌkɒmpəˈtɪʃn/, /ˌkɑːmpəˈtɪʃn/;  sự cạnh tranh, cuộc thi đấu
consume /ˈsjuːm/, /ˈsuːm/;  tiêu thụ, tiêu dùng
convince /kənˈvɪns/, /kənˈvɪns/;  thuyết phục
currently /ˈkʌrəntli/, /ˈkɜːrəntli/;  hiện thời, hiện nay, lúc này
fad /fæd/, /fæd/;  mốt nhất thời, sự thích thú tạm thời
inspiration /ˌɪnspəˈreɪʃn/, /ˌɪnspəˈreɪʃn/;  truyền cảm hứng, gây cảm hứng
market /ˈmɑːkɪt/, /ˈmɑːrkɪt/;  thị trường, chợ
persuasion /pəˈsweɪʒn/, /pərˈsweɪʒn/;  sự thuyết phục, làm cho tin
productive /prəˈdʌktɪv/, /prəˈdʌktɪv/;  năng xuất, có hiệu quả
satisfaction /ˌsætɪsˈfækʃn/, /ˌsætɪsˈfækʃn/;  sự làm thỏa mãn, sự hài lòng

3. Warranties; Sự bảo đảm, bảo hành
characteristic /ˌkærəktəˈrɪstɪk/, /ˌkærəktəˈrɪstɪk/;  đặc trưng, đặc điểm
consequence /ˈkɒnsɪkwəns/, /ˈkɑːnsɪkwens/;  kết quả, hậu quả, hệ quả
consider /kənˈsɪdə(r)/, /kənˈsɪdər/;  cân nhắc, suy xét
cover /ˈkʌvə(r)/, /ˈkʌvər/;  che, phủ, bao gồm
expiration /ˌekspəˈreɪʃn/, /ˌekspəˈreɪʃn/;  sự mãn hạn, sự hết hạn, sự kết thúc
frequently /ˈfriːkwəntli/, /ˈfriːkwəntli/;  thường xuyên, một cách thường xuyên
imply /ɪmˈplaɪ/, /ɪmˈplaɪ/;  ngụ ý, hàm ý
promise /ˈprɒmɪs/, /ˈprɑːmɪs/;  hứa hẹn, cam đoan, bảo đảm
protect /prəˈtekt/, /prəˈtekt/;  bảo vệ, bảo hộ, che chở
reputation /ˌrepjuˈteɪʃn/, /ˌrepjuˈteɪʃn/;  danh tiếng, thanh danh
require /rɪˈkwaɪə(r)/, /rɪˈkwaɪər/;  đòi hỏi, yêu cầu
variety /vəˈraɪəti/, /vəˈraɪəti/;  đa dạng, nhiều

4. Business planning; Kế hoạch kinh doanh
address /əˈdres/, /əˈdres/;  địa chỉ, diễn văn, bài nói chuyện
avoid /əˈvɔɪd/, /əˈvɔɪd/;  tránh, tránh khỏi
demonstrate /ˈdemənstreɪt/, /ˈdemənstreɪt/;  bày tỏ, biểu lộ, chứng minh
develop /dɪˈveləp/, /dɪˈveləp/;  phát triển, tiến triển
evaluate /ɪˈvæljueɪt/, /ɪˈvæljueɪt/;  đánh giá, định giá, ước lượng
gather /ˈɡæðə(r)/, /ˈɡæðər/;  tập hợp, tụ thập, thu thập
offer /ˈɒfə(r)/, /ˈɔːfər/;  đề xuất, đề nghị
primarily /praɪˈmerəli/, /ˈpraɪmərəli/;  chính, chủ yếu
risk /rɪsk/, /rɪsk/;  sự nguy hiểm, sự rủi ro
strategy /ˈstrætədʒi/, /ˈstrætədʒi/;  chiến lược
strong /strɒŋ/, /strɔːŋ/; khỏe, mạnh, tốt
substitution /ˈtjuːʃn/, /ˈtuːʃn/;  sự đổi, sự thay thế

5. Conferences; Hội nghị
accommodate /əˈkɒmədeɪt/, /əˈkɑːmədeɪt/;  điều tiết, điều chỉnh, làm cho phù hợp
arrangement /əˈreɪndʒmənt/, /əˈreɪndʒmənt/;  dàn xếp, sắp xếp
association /siˈeɪʃn/, /əˌsoʊsiˈeɪʃn/;  hội, hội liên hiệp, đoàn thể
attend /əˈtend/, /əˈtend/;  tham dự, có mặt
get in touch; liên lạc với, giữ quan hệ với, có dính líu đến
hold /həʊld/, /hoʊld/;  cầm, nắm, tổ chức
location /ləʊˈkeɪʃn/, /loʊˈkeɪʃn/;  vị trí, khu đất
overcrowded /ˌəʊvəˈkraʊdɪd/, /ˌoʊvərˈkraʊdɪd/;  chật ních, đông nghịt
register /ˈredʒɪstə(r)/, /ˈredʒɪstər/;  ghi vào sổ sách, đăng ký
select /sɪˈlekt/, /sɪˈlekt/;  chọn lựa, chọn lọc, tuyển chọn
session /ˈseʃn/, /ˈseʃn/;  phiên, kỳ, buổi (họp, học)
take part in; tham dự, tham gia

6. Computers; Máy vi tính
access /ˈækses/, /ˈækses/;  truy cập
allocate /ˈæləkeɪt/, /ˈæləkeɪt/;  chỉ định, định rõ
compatible /kəmˈpætəbl/, /kəmˈpætəbl/;  tương thích, tương hợp
delete /dɪˈliːt/, /dɪˈliːt/;  xóa đi, bỏ đi, gạch đi 
display /dɪˈspleɪ/, /dɪˈspleɪ/;  hiển thị, trưng bày
duplicate /ˈdjuːplɪkeɪt/, /ˈduːplɪkeɪt/;  sao lại, làm thành 2 bản
failure /ˈfeɪljə(r)/, /ˈfeɪljər/;  thất bại, bất thành
figure out; hiểu ra, suy ra, đoán ra
