abandon; bỏ rơi, ruồng bỏ
abet; xúi giục
abhor; ghê tởm, ghét cay ghét đắng
abject; hèn hạ, thấp hèn, khốn khổ 
abridge; rút ngắng lại, cắt bớt
abrogate; bãi bỏ, huỷ bỏ, thủ tiêu
abstemious; tiết chế, có điều độ
abstract; trừu tượng
absurd; ngớ ngẩn, lố bịch
accede; đồng ý, tán thành
accentuate; tô điểm, làm nổi bật
accompany; đồng hành, đi cùng, hộ tống
accord; hiệp định, hiệp ước
acquisition; sự được, sự giành được, sự thu được
acrimonious; chua cay, gay gắt
acumen; sự nhạy bén
adequate; đủ, đầy đủ
adjacent; kế bên, gần
admonish; khiển trách, la rầy
advent; sự ra đời, sự xuất hiện
advocate; chủ trương, tán thành
aesthetic; (thuộc) mỹ học, thẩm mỹ 
affable; hòa nhã, dễ gần
aforementioned; đã kể trước đây, đã nói trên
aggravate; làm trầm trọng thêm, xấu thêm
agitate; lay động, rung động, làm rung chuyển
alacrity; sự sốt sắng
alienate; làm cho giận ghét, làm cho xa lánh
allay; làm dịu đi, làm lắng xuống
allegiance; lòng trung thành 
allure; sức quyến rũ, sức lôi cuốn
alter; thay đổi, làm cho cái gì đó thay đổi
amass; chất đống, tích lũy
ambiguous; khó hiểu, mơ hồ, nhập nhằng
anachronism; việc lỗi thời, người lỗi thời, quan niệm lỗi thời
animus; ác cảm
anomaly; sự dị thường
anonymous; giấu tên, ẩn danh
anticipate; đoán trước, liệu trước, lường trước
apparatus; đồ dùng, dụng cụ, thiết bị máy móc
appeal, hấp dẫn, lôi cuốn 
apprise; cho biết, báo cho biết
approbation; sự chấp thuận, sự đồng ý
appropriate; thích hợp, thích đáng
apt; thích hợp, đúng với hoàn cảnh 
arbitrary; không bị bó buộc, tùy ý, tùy tiện
archetype; nguyên mẫu, nguyên hình
artful; tinh ranh, ma mãnh
articulate; có khả năng ăn nói lưu loát
ascetic; khổ hạnh
aspect; khía cạnh, mặt
assail; tấn công, xông vào đánh, công kích
assert; khẳng định, quả quyết 
assiduous; chuyên cần, siêng năng 
associate; kết giao, kết hợp, kết nối 
asylum; nơi tị nạn 
atom; nguyên tử
attribute; cho là do, quy cho 
augment; làm tăng lên
auspicious; có điềm tốt, điềm lành, thuận lợi
authentic; đích thực, xác thực 
avarice; tính hám lợi, tính tham lam
awry; hỏng, không như ý muốn
banal; thường, vô vị
bane; tai ương
banter; sự đùa dỡn
belie; gây một ấn tượng sai lầm, làm cho nhầm
belligerent; hay gây sự, hiếu chiến 
beneficial; có ích, có lợi 
benevolent; nhân từ, tốt bụng, rộng lượng
bestow; tặng cho, ban cho, dành cho
bibliophile; người mê sách 
bizarre; quái dị 
bland; nhạt nhẽo, không hấp dẫn 
blandishment; lời xu nịnh
blatant; trắng trợn
bleak; ảm đạm, không tươi sáng 
blight; làm hại, làm hỏng
bog; ngăn cản tiến độ của ai
bold; dũng cảm, táo bạo 
bombast; lời nói khoa trương
boorish; thô lỗ
boundary; biên giới, ranh giới 
bucolic; (thuộc) thôn quê, cuộc sống hôn nhân
buffoon; anh hề 
bulwark; người bảo vệ, nguyên tắc bảo vệ
