.
1. Contracts; Hợp đồng
abide by; tôn trọng, tuân theo
agreement; sự thoả thuận
assurance; bảo đảm, chắc chắn
cancellation; sự bãi bỏ, hủy bỏ
determine; quyết định, xác định, định rõ
engage; tham gia, cam kết
obligate; bắt buộc, ép buộc
party; đảng, phái, nhóm
provision; điều khoản, sự cung cấp
resolve; giải quyết, sự kiên quyết
specific; riêng biệt, cụ thể, rõ ràng, rành mạch 

2. Marketing; Tiếp thị
attract; hấp dẫn, lôi cuốn, thu hút
compare; so sánh, đối chiếu
competition; sự cạnh tranh, cuộc thi đấu
consume; tiêu thụ, tiêu dùng
convince; thuyết phục
currently; hiện thời, hiện nay, lúc này
fad; mốt nhất thời, sự thích thú tạm thời
inspiration; truyền cảm hứng, gây cảm hứng
market; thị trường, chợ
persuasion; sự thuyết phục, làm cho tin
productive; năng xuất, có hiệu quả
satisfaction; sự làm thỏa mãn, sự hài lòng

3. Warranties; Sự bảo đảm, bảo hành
characteristic; đặc trưng, đặc điểm
consequence; kết quả, hậu quả, hệ quả
consider; cân nhắc, suy xét
cover; che, phủ, bao gồm
expiration; sự mãn hạn, sự hết hạn, sự kết thúc
frequently; thường xuyên, một cách thường xuyên
imply; ngụ ý, hàm ý
promise; hứa hẹn, cam đoan, bảo đảm
protect; bảo vệ, bảo hộ, che chở
reputation; danh tiếng, thanh danh
require; đòi hỏi, yêu cầu
variety; đa dạng, nhiều

4. Business planning; Kế hoạch kinh doanh
address; địa chỉ, diễn văn, bài nói chuyện
avoid; tránh, tránh khỏi
demonstrate; bày tỏ, biểu lộ, chứng minh
develop; phát triển, tiến triển
evaluate; đánh giá, định giá, ước lượng
gather; tập hợp, tụ thập, thu thập
offer; đề xuất, đề nghị
primarily; chính, chủ yếu
risk; sự nguy hiểm, sự rủi ro
strategy; chiến lược
strong;khỏe, mạnh, tốt
substitution; sự đổi, sự thay thế

5. Conferences; Hội nghị
accommodate; điều tiết, điều chỉnh, làm cho phù hợp
arrangement; dàn xếp, sắp xếp
association; hội, hội liên hiệp, đoàn thể
attend; tham dự, có mặt
get in touch; liên lạc với, giữ quan hệ với, có dính líu đến
hold; cầm, nắm, tổ chức
location; vị trí, khu đất
overcrowded; chật ních, đông nghịt
register; ghi vào sổ sách, đăng ký
select; chọn lựa, chọn lọc, tuyển chọn
session; phiên, kỳ, buổi (họp, học)
take part in; tham dự, tham gia

6. Computers; Máy vi tính
access; truy cập
allocate; chỉ định, định rõ
compatible; tương thích, tương hợp
delete; xóa đi, bỏ đi, gạch đi 
display; hiển thị, trưng bày
duplicate; sao lại, làm thành 2 bản
failure; thất bại, bất thành
figure out; hiểu ra, suy ra, đoán ra
ignore; bỏ qua, phớt lờ, không để ý tới
search; tìm kiếm, tìm hiểu
shut down; tắt máy, ngừng hoạt động, chấm dứt
warning; cảnh báo, báo trước

7. Office technology; Công nghệ văn phòng
affordable; có đủ khả năng, có đủ điều kiện 
as needed; khi cần, lúc cần, cần thiết
be in charge of; hịu trách nhiệm về
capacity; sức chứa, dung tích, khả năng
durable; bền, lâu, lâu bền
initiative; bền, lâu, lâu bền
physically; thể chất, một cách vật lý
provide; người cung cấp, nhà cung cấp
recur; lặp lại, diễn lại, tái diễn
reduction; giảm thiểu, hạ, thu nhỏ
stay on top of; nắm bắt tình hình, hiểu biết thông tin mới nhất
stock; kho/hàng dự trữ, vốn, cổ phần

8. Office procedures; Thủ tục văn phòng
appreciation; sự đánh giá, nhận thức, sự cảm kích
be made of; làm bằng (cái gì), gồm có (cái gì)
bring in; thuê, mướn
casually; tình cờ, ngẫu nhiên
code; quy tắc, luật lệ, đạo lý
expose; phơi bày, bộc lộ, phô ra
glimpse; nhìn lướt qua, thoáng qua
out of; hết, mất, không còn
outdated; hết hạn, lỗi thời, lạc hậu
practice; sự thực hành, rèn luyện, tập luyện
reinforce; tăng cường, củng cố, gia cố
verbally; bằng miệng, bằng lời nói


9. Electronics; Điện tử
disk; đĩa (vi tính, thể thao, đĩa hát...)
facilitate; làm cho dễ dàng, làm cho thuận tiện
network; kết nối, liên kết, mạng lưới
popularity; phổ biến, nổi tiếng
process; quá trình, sự tiến triển
replace; thay thế, đặt vào lại chỗ cũ
revolution; sự xoay vòng, cuộc cách mạng
sharp; sắc, bén, rõ rệt
skill; kỹ năng, kỹ xảo
software; phần mềm, chương trình máy tính
store; cửa hàng, cửa hiệu, kho hàng
technically; một cách chuyên môn

10. Correspondence; Thư tín
assemble; thu thập, lắp ráp, tập hợp
beforehand; sẵn, có sẵn, trước
complication; sự phức tạp, sự rắc rối
courier; người đưa tin, người đưa thư, người chuyển phát
express; nhanh, hỏa tốc, tốc hành
fold; nếp gấp, gấp lại
layout; sự bổ trí trang giấy
mention; sự đề cập
petition; sự cầu xin, đơn kiến nghị, đơn thỉnh cầu
proof; bằng chứng, chứng cớ
register; đăng ký
revise; duyệt lại, sửa lại

11. Job advertising and recruiting; Quảng cáo công việc và tuyển dụng
abundant; nhiều, phong phú, thừa
accomplishment; thành tựu, thành tích, sự hoàn thành
bring together; gom lại, nhóm lại, họp lại
candidate; ứng cử viên, thí sinh, người dự thi
come up with; ý định
commensurate (+with); xứng với, tương xứng với
match; đối thủ, người ngang tài sức
profile; tiểu sử sơ lược, bản tóm lược các đặc tính
qualification; khả năng, năng lực, trình độ 
recruit; tuyển dụng
submit; trình, đệ trình, biện hộ
time-consuming; tốn nhiều thời gian

12. Applying and interviewing; Ứng tuyển và phỏng vấn
ability; năng lực, khả năng, tài năng
apply; nộp, ứng tuyển
background; kiến thức, kinh nghiệm, quá trình đào tạo
be ready for; sẵn sàng cho
call in; yêu cầu, mời tới
confidence; sự tin cậy, tin tưởng
constantly; luôn luôn, liên tục, liên miên
expert; chuyên gia, chuyên viên
follow up; tiếp theo, kế tiếp
hesitant; do dự, lưỡng lự, ngập ngừng
present; đưa ra, bày tỏ, giới thiệu
weakly; một cách yếu ớt, yếu, ốm yếu

13. Hiring and training; Thuê mướn và đào tạo 
conduct; tiến hành, cư xử
generate; sinh ra, tạo ra, phát ra
hire; thuê, mướn
keep up with; theo kịp, bắt kịp, đạt cho bằng được
look up to; tôn kính, kính trọng, khâm phục
mentor; người cố vấn
on track; theo dõi, đi tìm
reject; từ chối, loại bỏ
set up; thiết lập, tạo dựng
success; thành công, thành đạt, thắng lợi
training; huấn luyện, dạy dỗ, đào tạo
update; cập nhật

